id,invoice_number,client_name,client_email,amount,currency,status,issue_date,due_date,paid_date
1,INV-001,Acme Corp,billing@acme.com,15000.00,USD,paid,2026-06-01,2026-07-01,2026-06-28
2,INV-002,Globex Inc,accounts@globex.com,8500.50,USD,paid,2026-06-05,2026-07-05,2026-07-01
3,INV-003,Initech LLC,finance@initech.com,23000.00,USD,overdue,2026-05-01,2026-05-31,
4,INV-004,Umbrella Co,ap@umbrella.com,5750.75,USD,paid,2026-06-15,2026-07-15,2026-07-10
5,INV-005,Stark Industries,billing@stark.com,47500.00,USD,pending,2026-07-20,2026-08-19,
6,INV-006,Wayne Enterprises,ap@wayne.com,12300.00,USD,overdue,2026-06-01,2026-07-01,
7,INV-007,Oscorp,finance@oscorp.com,9800.25,USD,paid,2026-07-01,2026-07-31,2026-07-28
8,INV-008,Massive Dynamic,billing@massive.com,31000.00,USD,pending,2026-07-25,2026-08-24,
9,INV-009,Cyberdyne Systems,ap@cyberdyne.com,18500.00,USD,overdue,2026-06-10,2026-07-10,
10,INV-010,Soylent Corp,finance@soylent.com,6200.50,USD,paid,2026-07-10,2026-08-09,2026-08-07
11,INV-011,Weyland Corp,billing@weyland.com,55000.00,USD,paid,2026-07-01,2026-07-31,2026-07-29
12,INV-012,Tyrell Corp,ap@tyrell.com,28750.00,USD,pending,2026-07-20,2026-08-19,
13,INV-013,Acme Corp,billing@acme.com,11000.00,USD,overdue,2026-07-15,2026-08-04,
14,INV-014,Globex Inc,accounts@globex.com,19500.75,USD,overdue,2026-07-20,2026-08-10,
15,INV-015,Initech LLC,finance@initech.com,7800.00,USD,pending,2026-07-25,2026-08-24,
